# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_transcript_ablation	variants_effect_upstream_gene_variant
SC80_RS00840	gene-SC80_RS00840	rna-SC80_RS00840	protein_coding	0	0	0	102	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0
SC80_RS00860	gene-SC80_RS00860	TRANSCRIPT_gene-SC80_RS00860	protein_coding	0	3	2	98	0	0	0	0	39	0	0	2	0	0	0	0	0	0	3	0	59
SC80_RS01175	gene-SC80_RS01175	TRANSCRIPT_gene-SC80_RS01175	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
SC80_RS01325	gene-SC80_RS01325	rna-SC80_RS01325	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SC80_RS01330	gene-SC80_RS01330	rna-SC80_RS01330	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SC80_RS01335	gene-SC80_RS01335	rna-SC80_RS01335	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SC80_RS01340	gene-SC80_RS01340	rna-SC80_RS01340	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SC80_RS01345	gene-SC80_RS01345	rna-SC80_RS01345	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SC80_RS01350	gene-SC80_RS01350	rna-SC80_RS01350	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SC80_RS01355	gene-SC80_RS01355	rna-SC80_RS01355	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SC80_RS01390	gene-SC80_RS01390	TRANSCRIPT_gene-SC80_RS01390	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
SC80_RS01395	gene-SC80_RS01395	TRANSCRIPT_gene-SC80_RS01395	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
SC80_RS01400	gene-SC80_RS01400	TRANSCRIPT_gene-SC80_RS01400	protein_coding	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
SC80_RS01410	gene-SC80_RS01410	TRANSCRIPT_gene-SC80_RS01410	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
SC80_RS01415	gene-SC80_RS01415	TRANSCRIPT_gene-SC80_RS01415	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
SC80_RS01425	gene-SC80_RS01425	TRANSCRIPT_gene-SC80_RS01425	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SC80_RS01430	gene-SC80_RS01430	TRANSCRIPT_gene-SC80_RS01430	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SC80_RS02260	gene-SC80_RS02260	TRANSCRIPT_gene-SC80_RS02260	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SC80_RS02460	gene-SC80_RS02460	TRANSCRIPT_gene-SC80_RS02460	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
SC80_RS02515	gene-SC80_RS02515	TRANSCRIPT_gene-SC80_RS02515	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
SC80_RS02520	gene-SC80_RS02520	TRANSCRIPT_gene-SC80_RS02520	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
SC80_RS02525	gene-SC80_RS02525	TRANSCRIPT_gene-SC80_RS02525	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
SC80_RS02530	gene-SC80_RS02530	TRANSCRIPT_gene-SC80_RS02530	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
SC80_RS02535	gene-SC80_RS02535	TRANSCRIPT_gene-SC80_RS02535	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
SC80_RS03835	gene-SC80_RS03835	TRANSCRIPT_gene-SC80_RS03835	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SC80_RS03840	gene-SC80_RS03840	TRANSCRIPT_gene-SC80_RS03840	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SC80_RS03845	gene-SC80_RS03845	TRANSCRIPT_gene-SC80_RS03845	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SC80_RS03850	gene-SC80_RS03850	TRANSCRIPT_gene-SC80_RS03850	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SC80_RS03855	gene-SC80_RS03855	TRANSCRIPT_gene-SC80_RS03855	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SC80_RS03860	gene-SC80_RS03860	TRANSCRIPT_gene-SC80_RS03860	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SC80_RS03865	gene-SC80_RS03865	TRANSCRIPT_gene-SC80_RS03865	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SC80_RS03870	gene-SC80_RS03870	TRANSCRIPT_gene-SC80_RS03870	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
SC80_RS04560	gene-SC80_RS04560	rna-SC80_RS04560	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
SC80_RS04565	gene-SC80_RS04565	rna-SC80_RS04565	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
SC80_RS04570	gene-SC80_RS04570	rna-SC80_RS04570	protein_coding	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
SC80_RS04840	gene-SC80_RS04840	TRANSCRIPT_gene-SC80_RS04840	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
SC80_RS04875	gene-SC80_RS04875	TRANSCRIPT_gene-SC80_RS04875	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SC80_RS04985	gene-SC80_RS04985	TRANSCRIPT_gene-SC80_RS04985	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
SC80_RS04990	gene-SC80_RS04990	TRANSCRIPT_gene-SC80_RS04990	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
SC80_RS04995	gene-SC80_RS04995	TRANSCRIPT_gene-SC80_RS04995	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
SC80_RS05000	gene-SC80_RS05000	TRANSCRIPT_gene-SC80_RS05000	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SC80_RS05145	gene-SC80_RS05145	TRANSCRIPT_gene-SC80_RS05145	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SC80_RS05150	gene-SC80_RS05150	TRANSCRIPT_gene-SC80_RS05150	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SC80_RS05275	gene-SC80_RS05275	TRANSCRIPT_gene-SC80_RS05275	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
SC80_RS05285	gene-SC80_RS05285	TRANSCRIPT_gene-SC80_RS05285	protein_coding	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3
SC80_RS05405	gene-SC80_RS05405	TRANSCRIPT_gene-SC80_RS05405	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SC80_RS05795	gene-SC80_RS05795	rna-SC80_RS05795	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
SC80_RS05995	gene-SC80_RS05995	TRANSCRIPT_gene-SC80_RS05995	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
SC80_RS06515	gene-SC80_RS06515	TRANSCRIPT_gene-SC80_RS06515	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
SC80_RS06520	gene-SC80_RS06520	TRANSCRIPT_gene-SC80_RS06520	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
SC80_RS06525	gene-SC80_RS06525	TRANSCRIPT_gene-SC80_RS06525	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SC80_RS06530	gene-SC80_RS06530	TRANSCRIPT_gene-SC80_RS06530	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SC80_RS06535	gene-SC80_RS06535	TRANSCRIPT_gene-SC80_RS06535	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SC80_RS06540	gene-SC80_RS06540	TRANSCRIPT_gene-SC80_RS06540	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SC80_RS06585	gene-SC80_RS06585	rna-SC80_RS06585	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
SC80_RS06600	gene-SC80_RS06600	TRANSCRIPT_gene-SC80_RS06600	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
SC80_RS06605	gene-SC80_RS06605	TRANSCRIPT_gene-SC80_RS06605	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SC80_RS06610	gene-SC80_RS06610	TRANSCRIPT_gene-SC80_RS06610	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SC80_RS06615	gene-SC80_RS06615	TRANSCRIPT_gene-SC80_RS06615	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SC80_RS06690	gene-SC80_RS06690	TRANSCRIPT_gene-SC80_RS06690	protein_coding	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35
SC80_RS06695	gene-SC80_RS06695	TRANSCRIPT_gene-SC80_RS06695	protein_coding	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36
SC80_RS06700	gene-SC80_RS06700	TRANSCRIPT_gene-SC80_RS06700	protein_coding	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36
SC80_RS06705	gene-SC80_RS06705	TRANSCRIPT_gene-SC80_RS06705	protein_coding	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36
SC80_RS06710	gene-SC80_RS06710	TRANSCRIPT_gene-SC80_RS06710	protein_coding	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36
SC80_RS06725	gene-SC80_RS06725	TRANSCRIPT_gene-SC80_RS06725	protein_coding	0	25	3	8	0	0	0	0	7	0	0	3	0	0	0	0	0	0	25	0	1
SC80_RS06730	gene-SC80_RS06730	TRANSCRIPT_gene-SC80_RS06730	protein_coding	0	0	0	36	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	1
SC80_RS06735	gene-SC80_RS06735	TRANSCRIPT_gene-SC80_RS06735	protein_coding	0	0	0	37	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	2
SC80_RS06740	gene-SC80_RS06740	TRANSCRIPT_gene-SC80_RS06740	protein_coding	0	0	0	37	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	2
SC80_RS06745	gene-SC80_RS06745	TRANSCRIPT_gene-SC80_RS06745	protein_coding	0	0	1	36	0	0	0	0	35	0	0	1	0	0	0	0	0	0	0	0	1
SC80_RS06750	gene-SC80_RS06750	TRANSCRIPT_gene-SC80_RS06750	protein_coding	0	0	0	37	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	1
SC80_RS06755	gene-SC80_RS06755	TRANSCRIPT_gene-SC80_RS06755	protein_coding	0	0	0	38	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	2
SC80_RS06760	gene-SC80_RS06760	TRANSCRIPT_gene-SC80_RS06760	protein_coding	0	0	0	38	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	2
SC80_RS06765	gene-SC80_RS06765	TRANSCRIPT_gene-SC80_RS06765	protein_coding	0	0	0	38	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	2
SC80_RS06770	gene-SC80_RS06770	TRANSCRIPT_gene-SC80_RS06770	protein_coding	0	0	0	38	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	2
SC80_RS06775	gene-SC80_RS06775	TRANSCRIPT_gene-SC80_RS06775	protein_coding	0	0	0	38	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	2
SC80_RS06785	gene-SC80_RS06785	TRANSCRIPT_gene-SC80_RS06785	protein_coding	0	0	0	39	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	3
SC80_RS06790	gene-SC80_RS06790	TRANSCRIPT_gene-SC80_RS06790	protein_coding	0	0	1	3	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2
SC80_RS06795	gene-SC80_RS06795	TRANSCRIPT_gene-SC80_RS06795	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
SC80_RS06800	gene-SC80_RS06800	TRANSCRIPT_gene-SC80_RS06800	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
SC80_RS06805	gene-SC80_RS06805	TRANSCRIPT_gene-SC80_RS06805	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
SC80_RS06810	gene-SC80_RS06810	TRANSCRIPT_gene-SC80_RS06810	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
SC80_RS06815	gene-SC80_RS06815	TRANSCRIPT_gene-SC80_RS06815	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
SC80_RS06820	gene-SC80_RS06820	TRANSCRIPT_gene-SC80_RS06820	protein_coding	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2
SC80_RS06825	gene-SC80_RS06825	TRANSCRIPT_gene-SC80_RS06825	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
SC80_RS06835	gene-SC80_RS06835	TRANSCRIPT_gene-SC80_RS06835	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
SC80_RS06855	gene-SC80_RS06855	TRANSCRIPT_gene-SC80_RS06855	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
SC80_RS06860	gene-SC80_RS06860	TRANSCRIPT_gene-SC80_RS06860	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
SC80_RS06865	gene-SC80_RS06865	TRANSCRIPT_gene-SC80_RS06865	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
SC80_RS06875	gene-SC80_RS06875	TRANSCRIPT_gene-SC80_RS06875	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
SC80_RS06880	gene-SC80_RS06880	TRANSCRIPT_gene-SC80_RS06880	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
SC80_RS06890	gene-SC80_RS06890	TRANSCRIPT_gene-SC80_RS06890	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SC80_RS06895	gene-SC80_RS06895	TRANSCRIPT_gene-SC80_RS06895	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SC80_RS06900	gene-SC80_RS06900	TRANSCRIPT_gene-SC80_RS06900	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SC80_RS06925	gene-SC80_RS06925	TRANSCRIPT_gene-SC80_RS06925	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SC80_RS06930	gene-SC80_RS06930	TRANSCRIPT_gene-SC80_RS06930	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SC80_RS06935	gene-SC80_RS06935	TRANSCRIPT_gene-SC80_RS06935	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
SC80_RS06940	gene-SC80_RS06940	TRANSCRIPT_gene-SC80_RS06940	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
SC80_RS06945	gene-SC80_RS06945	TRANSCRIPT_gene-SC80_RS06945	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
SC80_RS06950	gene-SC80_RS06950	TRANSCRIPT_gene-SC80_RS06950	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
SC80_RS06955	gene-SC80_RS06955	TRANSCRIPT_gene-SC80_RS06955	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
SC80_RS06965	gene-SC80_RS06965	TRANSCRIPT_gene-SC80_RS06965	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
SC80_RS07035	gene-SC80_RS07035	TRANSCRIPT_gene-SC80_RS07035	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
SC80_RS07095	gene-SC80_RS07095	TRANSCRIPT_gene-SC80_RS07095	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
SC80_RS07100	gene-SC80_RS07100	TRANSCRIPT_gene-SC80_RS07100	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
SC80_RS07105	gene-SC80_RS07105	TRANSCRIPT_gene-SC80_RS07105	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
SC80_RS07115	gene-SC80_RS07115	TRANSCRIPT_gene-SC80_RS07115	protein_coding	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
SC80_RS07120	gene-SC80_RS07120	TRANSCRIPT_gene-SC80_RS07120	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
SC80_RS07125	gene-SC80_RS07125	TRANSCRIPT_gene-SC80_RS07125	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
SC80_RS07215	gene-SC80_RS07215	TRANSCRIPT_gene-SC80_RS07215	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
SC80_RS07355	gene-SC80_RS07355	rna-SC80_RS07355	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
SC80_RS07360	gene-SC80_RS07360	rna-SC80_RS07360	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
SC80_RS07365	gene-SC80_RS07365	rna-SC80_RS07365	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
SC80_RS07585	gene-SC80_RS07585	TRANSCRIPT_gene-SC80_RS07585	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
SC80_RS07645	gene-SC80_RS07645	TRANSCRIPT_gene-SC80_RS07645	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SC80_RS07650	gene-SC80_RS07650	TRANSCRIPT_gene-SC80_RS07650	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SC80_RS07655	gene-SC80_RS07655	TRANSCRIPT_gene-SC80_RS07655	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SC80_RS07830	gene-SC80_RS07830	TRANSCRIPT_gene-SC80_RS07830	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SC80_RS07910	gene-SC80_RS07910	TRANSCRIPT_gene-SC80_RS07910	protein_coding	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
SC80_RS07915	gene-SC80_RS07915	TRANSCRIPT_gene-SC80_RS07915	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
SC80_RS08175	gene-SC80_RS08175	TRANSCRIPT_gene-SC80_RS08175	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SC80_RS08180	gene-SC80_RS08180	TRANSCRIPT_gene-SC80_RS08180	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SC80_RS08295	gene-SC80_RS08295	TRANSCRIPT_gene-SC80_RS08295	protein_coding	0	0	1	3	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1
SC80_RS08300	gene-SC80_RS08300	TRANSCRIPT_gene-SC80_RS08300	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
SC80_RS08310	gene-SC80_RS08310	TRANSCRIPT_gene-SC80_RS08310	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
SC80_RS08320	gene-SC80_RS08320	TRANSCRIPT_gene-SC80_RS08320	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
SC80_RS08325	gene-SC80_RS08325	TRANSCRIPT_gene-SC80_RS08325	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
SC80_RS08780	gene-SC80_RS08780	TRANSCRIPT_gene-SC80_RS08780	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SC80_RS08785	gene-SC80_RS08785	TRANSCRIPT_gene-SC80_RS08785	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SC80_RS08805	gene-SC80_RS08805	TRANSCRIPT_gene-SC80_RS08805	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SC80_RS08810	gene-SC80_RS08810	TRANSCRIPT_gene-SC80_RS08810	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
SC80_RS08815	gene-SC80_RS08815	TRANSCRIPT_gene-SC80_RS08815	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SC80_RS08820	gene-SC80_RS08820	TRANSCRIPT_gene-SC80_RS08820	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SC80_RS08980	gene-SC80_RS08980	TRANSCRIPT_gene-SC80_RS08980	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
SC80_RS08985	gene-SC80_RS08985	TRANSCRIPT_gene-SC80_RS08985	protein_coding	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
SC80_RS08990	gene-SC80_RS08990	TRANSCRIPT_gene-SC80_RS08990	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
SC80_RS08995	gene-SC80_RS08995	TRANSCRIPT_gene-SC80_RS08995	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SC80_RS09000	gene-SC80_RS09000	TRANSCRIPT_gene-SC80_RS09000	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
