locus_tag	ftype	length_bp	gene	EC_number	COG	product
EFAJBHHO_00102	CDS	330	ybaB		COG0718	Nucleoid-associated protein YbaB
EFAJBHHO_00103	CDS	606	recR		COG0353	Recombination protein RecR
EFAJBHHO_00104	CDS	1875	htpG		COG0326	Chaperone protein HtpG
EFAJBHHO_00105	CDS	645	adk	2.7.4.3	COG0563	Adenylate kinase
EFAJBHHO_00106	CDS	963	hemH	4.99.1.1	COG0276	Ferrochelatase
EFAJBHHO_00107	CDS	960	aes	3.1.1.-	COG0657	Acetyl esterase
EFAJBHHO_00108	CDS	1305	gsk	2.7.1.73	COG0524	Inosine-guanosine kinase
EFAJBHHO_00109	CDS	1677	ybaL		COG1226	Putative cation/proton antiporter YbaL
EFAJBHHO_00110	CDS	1221	fsr			Fosmidomycin resistance protein
EFAJBHHO_00111	CDS	1653	ushA		COG0737	Protein UshA
EFAJBHHO_00112	CDS	504				hypothetical protein
EFAJBHHO_00113	CDS	801				hypothetical protein
EFAJBHHO_00114	CDS	480	ybaK	4.2.-.-	COG2606	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
EFAJBHHO_00115	CDS	795				hypothetical protein
EFAJBHHO_00116	CDS	303	higB-1		COG3549	Toxin HigB-1
EFAJBHHO_00117	CDS	342	ybaQ		COG3093	putative HTH-type transcriptional regulator YbaQ
EFAJBHHO_00118	CDS	2505	copA	3.6.3.54	COG2217	Copper-exporting P-type ATPase
EFAJBHHO_00119	CDS	933	glsA1	3.5.1.2	COG2066	Glutaminase 1
EFAJBHHO_00120	CDS	1293	ybaT		COG0531	Inner membrane transport protein YbaT
EFAJBHHO_00121	CDS	408	cueR		COG0789	HTH-type transcriptional regulator CueR
EFAJBHHO_00122	CDS	204				hypothetical protein
EFAJBHHO_00123	CDS	420				hypothetical protein
EFAJBHHO_00124	CDS	1017	smc			Chromosome partition protein Smc
EFAJBHHO_00125	CDS	363				hypothetical protein
EFAJBHHO_00126	CDS	459	ybbJ		COG1585	Inner membrane protein YbbJ
EFAJBHHO_00127	CDS	918	qmcA		COG0330	Protein QmcA
EFAJBHHO_00128	CDS	678	fetA	3.6.3.-	COG4619	putative iron export ATP-binding protein FetA
EFAJBHHO_00129	CDS	780	fetB		COG0390	putative iron export permease protein FetB
EFAJBHHO_00130	CDS	855	ybbN		COG3118	putative protein YbbN
EFAJBHHO_00131	CDS	771		1.-.-.-	COG4221	putative oxidoreductase
EFAJBHHO_00132	CDS	594	tesA	3.1.2.2	COG2755	Thioesterase 1/protease 1/lysophospholipase L1
EFAJBHHO_00133	CDS	687	lolD_1	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
EFAJBHHO_00134	CDS	2415				hypothetical protein
EFAJBHHO_00135	CDS	1095	selU	2.9.1.-	COG2603	tRNA 2-selenouridine synthase
EFAJBHHO_00136	CDS	927	allS			HTH-type transcriptional activator AllS
EFAJBHHO_00137	CDS	483	allA	4.3.2.3	COG3194	Ureidoglycolate lyase
EFAJBHHO_00138	CDS	816	allR		COG1414	HTH-type transcriptional repressor AllR
EFAJBHHO_00139	CDS	1782	gcl_1	4.1.1.47	COG3960	Glyoxylate carboligase
EFAJBHHO_00140	CDS	777	hyi_1	5.3.1.22	COG3622	Hydroxypyruvate isomerase
EFAJBHHO_00141	CDS	879	glxR_1	1.1.1.60	COG2084	2-hydroxy-3-oxopropionate reductase
EFAJBHHO_00142	CDS	1455	ybbW		COG1953	Putative allantoin permease
EFAJBHHO_00143	CDS	1362	allB	3.5.2.5	COG0044	Allantoinase
EFAJBHHO_00144	CDS	1302	ybbY		COG2233	Putative purine permease YbbY
EFAJBHHO_00145	CDS	1146	glxK_1	2.7.1.31	COG1929	Glycerate 3-kinase
EFAJBHHO_00146	CDS	786	allE	3.5.3.26	COG3257	(S)-ureidoglycine aminohydrolase
EFAJBHHO_00147	CDS	1236	allC	3.5.3.9	COG0624	Allantoate amidohydrolase
EFAJBHHO_00148	CDS	1050	allD	1.1.1.350	COG2055	Ureidoglycolate dehydrogenase (NAD(+))
EFAJBHHO_00149	CDS	1668	fdrA_1		COG0074	Protein FdrA
EFAJBHHO_00150	CDS	1260				hypothetical protein
EFAJBHHO_00151	CDS	816				hypothetical protein
EFAJBHHO_00152	CDS	894	arcC1_1	2.7.2.2	COG0549	Carbamate kinase 1
EFAJBHHO_00153	CDS	1068	purK	6.3.4.18	COG0026	N5-carboxyaminoimidazole ribonucleotide synthase
EFAJBHHO_00154	CDS	510	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
EFAJBHHO_00155	CDS	330				hypothetical protein
EFAJBHHO_00156	CDS	723	lpxH	3.6.1.54	COG2908	UDP-2,3-diacylglucosamine hydrolase
EFAJBHHO_00157	CDS	495	ppiB	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase B
EFAJBHHO_00158	CDS	1386	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
EFAJBHHO_00159	CDS	522	ybcI		COG1988	Inner membrane protein YbcI
EFAJBHHO_00160	CDS	213	ybcJ		COG2501	putative protein YbcJ
EFAJBHHO_00161	CDS	867	folD		COG0190	Bifunctional protein FolD protein
EFAJBHHO_00162	tRNA	77				tRNA-Arg(tct)
EFAJBHHO_00163	CDS	633				hypothetical protein
EFAJBHHO_00164	CDS	657				hypothetical protein
EFAJBHHO_00165	CDS	306				hypothetical protein
EFAJBHHO_00166	CDS	1485	caeB	3.1.1.-		Carboxylesterase B
EFAJBHHO_00167	CDS	954	ompT	3.4.23.49	COG4571	Protease 7
EFAJBHHO_00168	CDS	891				hypothetical protein
EFAJBHHO_00169	CDS	2973	nfrA		COG0457	Bacteriophage adsorption protein A
EFAJBHHO_00170	CDS	2238				hypothetical protein
EFAJBHHO_00171	CDS	1443	cusS	2.7.13.3	COG0642	Sensor kinase CusS
EFAJBHHO_00172	CDS	684	cusR		COG0745	Transcriptional regulatory protein CusR
EFAJBHHO_00173	CDS	1383	cusC_1		COG1538	Cation efflux system protein CusC
EFAJBHHO_00174	CDS	333	cusF		COG5569	Cation efflux system protein CusF
EFAJBHHO_00175	CDS	1224	cusB			Cation efflux system protein CusB
EFAJBHHO_00176	CDS	3144	cusA		COG3696	Cation efflux system protein CusA
EFAJBHHO_00177	CDS	1377	pheP		COG1113	Phenylalanine-specific permease
EFAJBHHO_00178	CDS	1248	ybdG		COG0668	Miniconductance mechanosensitive channel YbdG
EFAJBHHO_00179	CDS	654	nfsB	1.-.-.-	COG0778	Oxygen-insensitive NAD(P)H nitroreductase
EFAJBHHO_00180	CDS	384	yjbR_1		COG2315	putative protein YjbR
EFAJBHHO_00181	CDS	249				hypothetical protein
EFAJBHHO_00182	CDS	1119	ybdK	6.3.2.2	COG2170	Putative glutamate--cysteine ligase 2
EFAJBHHO_00183	CDS	114				hypothetical protein
EFAJBHHO_00184	CDS	153	hokA_1			Protein HokA
EFAJBHHO_00185	CDS	744	entD	2.7.8.-	COG2977	Enterobactin synthase component D
EFAJBHHO_00186	CDS	2241	fepA		COG4771	Ferrienterobactin receptor
EFAJBHHO_00187	CDS	1203	fes_1		COG2382	Enterochelin esterase
EFAJBHHO_00188	CDS	219	ybdZ		COG3251	Enterobactin biosynthesis protein YbdZ
EFAJBHHO_00189	CDS	3882	entF	2.7.7.-	COG1020	Enterobactin synthase component F
EFAJBHHO_00190	CDS	1134	fepE		COG3765	Ferric enterobactin transport protein FepE
EFAJBHHO_00191	CDS	816	fepC_1		COG1120	Ferric enterobactin transport ATP-binding protein FepC
EFAJBHHO_00192	CDS	993	fepG		COG4779	Ferric enterobactin transport system permease protein FepG
EFAJBHHO_00193	CDS	1005	fepD		COG0609	Ferric enterobactin transport system permease protein FepD
EFAJBHHO_00194	CDS	1251	entS		COG0477	Enterobactin exporter EntS
EFAJBHHO_00195	CDS	957	fepB		COG4592	Ferrienterobactin-binding periplasmic protein
EFAJBHHO_00196	CDS	1176	entC	5.4.4.2	COG1169	Isochorismate synthase EntC
EFAJBHHO_00197	CDS	1611	entE	6.3.2.14	COG1021	Enterobactin synthase component E
EFAJBHHO_00198	CDS	858	entB	6.3.2.14	COG1535	Enterobactin synthase component B
EFAJBHHO_00199	CDS	747	entA	1.3.1.28	COG1028	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
EFAJBHHO_00200	CDS	414	entH	3.1.2.-	COG2050	Proofreading thioesterase EntH
EFAJBHHO_00201	CDS	2106	cstA		COG1966	Peptide transporter CstA
EFAJBHHO_00202	CDS	198				hypothetical protein
EFAJBHHO_00203	CDS	1089	hcxA	1.1.1.-	COG0371	Hydroxycarboxylate dehydrogenase A
EFAJBHHO_00204	CDS	1161	ybdL	2.6.1.88	COG0436	Methionine aminotransferase
EFAJBHHO_00205	CDS	630	ybdM_1		COG1475	putative protein YbdM
EFAJBHHO_00206	CDS	1221	cysH_1	1.8.4.8		Phosphoadenosine phosphosulfate reductase
EFAJBHHO_00207	CDS	903	ybdO			putative HTH-type transcriptional regulator YbdO
EFAJBHHO_00208	CDS	747	dsbG		COG1651	Thiol:disulfide interchange protein DsbG
EFAJBHHO_00209	CDS	564	ahpC	1.11.1.15	COG0450	Alkyl hydroperoxide reductase C
EFAJBHHO_00210	CDS	1596	ahpF	1.8.1.-	COG3634	Alkyl hydroperoxide reductase subunit F
EFAJBHHO_00211	CDS	429	uspG		COG0589	Universal stress protein UP12
EFAJBHHO_00212	CDS	90				hypothetical protein
EFAJBHHO_00213	CDS	411	rnk		COG0782	Regulator of nucleoside diphosphate kinase
EFAJBHHO_00214	CDS	807	rna	3.1.27.6	COG3719	Ribonuclease I
EFAJBHHO_00215	CDS	1464	ttdT_1		COG0471	L-tartrate/succinate antiporter
EFAJBHHO_00216	CDS	879	citG	2.4.2.52	COG1767	2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase
EFAJBHHO_00217	CDS	552	citX	2.7.7.61	COG3697	Apo-citrate lyase phosphoribosyl-dephospho-CoA transferase
EFAJBHHO_00218	CDS	1533	citF	4.1.3.6	COG3051	Citrate lyase alpha chain
EFAJBHHO_00219	CDS	909	citE	4.1.3.6	COG2301	Citrate lyase subunit beta
EFAJBHHO_00220	CDS	297	citD		COG3052	Citrate lyase acyl carrier protein
EFAJBHHO_00221	CDS	1059	citC	6.2.1.22	COG3053	[Citrate [pro-3S]-lyase] ligase
EFAJBHHO_00222	CDS	1659	dpiB	2.7.13.3	COG3290	Sensor histidine kinase DpiB
EFAJBHHO_00223	CDS	681	dpiA		COG4565	Transcriptional regulatory protein DpiA
EFAJBHHO_00224	CDS	1386	dcuD		COG3069	Putative cryptic C4-dicarboxylate transporter DcuD
EFAJBHHO_00225	CDS	561	pagP	2.3.1.251		Lipid A palmitoyltransferase PagP
EFAJBHHO_00226	CDS	210	cspE		COG1278	Cold shock-like protein CspE
EFAJBHHO_00227	CDS	384	crcB		COG0239	Putative fluoride ion transporter CrcB
EFAJBHHO_00228	CDS	789	ybeM	3.5.1.-		Deaminated glutathione amidase
EFAJBHHO_00229	CDS	204	tatE		COG1826	Sec-independent protein translocase protein TatE
EFAJBHHO_00230	CDS	966	lipA	2.8.1.8	COG0320	Lipoyl synthase
EFAJBHHO_00231	CDS	642	lipB	2.3.1.181	COG0321	Octanoyltransferase
EFAJBHHO_00232	CDS	264				hypothetical protein
EFAJBHHO_00233	CDS	1212	dacA	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacA
EFAJBHHO_00234	CDS	1089	rlpA	4.2.2.-	COG0797	Endolytic peptidoglycan transglycosylase RlpA
EFAJBHHO_00235	CDS	1113	mrdB	2.4.1.129	COG0772	Peptidoglycan glycosyltransferase MrdB
EFAJBHHO_00236	CDS	1902	mrdA	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
EFAJBHHO_00237	CDS	468	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
EFAJBHHO_00238	CDS	318	rsfS		COG0799	Ribosomal silencing factor RsfS
EFAJBHHO_00239	CDS	612	cobC	3.1.3.73	COG0406	Adenosylcobalamin/alpha-ribazole phosphatase
EFAJBHHO_00240	CDS	642	nadD	2.7.7.18	COG1057	Nicotinate-nucleotide adenylyltransferase
EFAJBHHO_00241	CDS	1032	holA	2.7.7.7	COG1466	DNA polymerase III subunit delta
EFAJBHHO_00242	CDS	582	lptE		COG2980	LPS-assembly lipoprotein LptE
EFAJBHHO_00243	CDS	2583	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
EFAJBHHO_00244	CDS	483				hypothetical protein
EFAJBHHO_00245	CDS	936	rihA	3.2.-.-	COG1957	Pyrimidine-specific ribonucleoside hydrolase RihA
EFAJBHHO_00246	CDS	726	glnQ_1			Glutamine transport ATP-binding protein GlnQ
EFAJBHHO_00247	CDS	675	gltK		COG0765	Glutamate/aspartate import permease protein GltK
EFAJBHHO_00248	CDS	741	glnM_1		COG0765	putative glutamine ABC transporter permease protein GlnM
EFAJBHHO_00249	CDS	909	gltI		COG0834	Glutamate/aspartate import solute-binding protein
EFAJBHHO_00250	CDS	1878	aarA	3.4.21.105	COG0705	Rhomboid protease AarA
EFAJBHHO_00251	CDS	1542	lnt	2.3.1.-	COG0815	Apolipoprotein N-acyltransferase
EFAJBHHO_00252	CDS	879	corC		COG4535	Magnesium and cobalt efflux protein CorC
EFAJBHHO_00253	CDS	468	ybeY	3.1.-.-	COG0319	Endoribonuclease YbeY
EFAJBHHO_00254	CDS	1080	ybeZ		COG1702	PhoH-like protein
EFAJBHHO_00255	CDS	1425	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
EFAJBHHO_00256	CDS	1176	ubiF	1.14.13.-	COG0654	2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase
EFAJBHHO_00257	tRNA	75				tRNA-Gln(ctg)
EFAJBHHO_00258	tRNA	75				tRNA-Gln(ctg)
EFAJBHHO_00259	tRNA	77				tRNA-Met(cat)
EFAJBHHO_00260	tRNA	75				tRNA-Gln(ttg)
EFAJBHHO_00261	tRNA	75				tRNA-Gln(ttg)
EFAJBHHO_00262	tRNA	85				tRNA-Leu(tag)
EFAJBHHO_00263	tRNA	77				tRNA-Met(cat)
EFAJBHHO_00264	CDS	1665	asnB	6.3.5.4	COG0367	Asparagine synthetase B [glutamine-hydrolyzing]
EFAJBHHO_00265	CDS	753	nagD	3.1.3.5	COG0647	Ribonucleotide monophosphatase NagD
EFAJBHHO_00266	CDS	1221	nagC		COG1940	N-acetylglucosamine repressor
EFAJBHHO_00267	CDS	1149	nagA	3.5.1.25	COG1820	N-acetylglucosamine-6-phosphate deacetylase
EFAJBHHO_00268	CDS	801	nagB_1	3.5.99.6	COG0363	Glucosamine-6-phosphate deaminase
EFAJBHHO_00269	CDS	1947	nagE		COG1263	PTS system N-acetylglucosamine-specific EIICBA component
EFAJBHHO_00270	CDS	1281				hypothetical protein
EFAJBHHO_00271	CDS	471	tabA_1		COG2731	Toxin-antitoxin biofilm protein TabA
EFAJBHHO_00272	CDS	1170				hypothetical protein
EFAJBHHO_00273	CDS	321				hypothetical protein
EFAJBHHO_00274	CDS	294				hypothetical protein
EFAJBHHO_00275	CDS	888	dapA_1	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
EFAJBHHO_00276	CDS	1158	adh1	1.1.1.192	COG1454	Long-chain-alcohol dehydrogenase 1
EFAJBHHO_00277	CDS	1236	dtnK	2.7.1.219	COG3395	D-threonate kinase
EFAJBHHO_00278	CDS	987	pdxA2	1.1.1.408	COG1995	D-threonate 4-phosphate dehydrogenase
EFAJBHHO_00279	CDS	762	glcR_1		COG1349	HTH-type transcriptional repressor GlcR
EFAJBHHO_00280	CDS	1665	glnS	6.1.1.18	COG0008	Glutamine--tRNA ligase
EFAJBHHO_00281	CDS	1407	chiP			Chitoporin
EFAJBHHO_00282	CDS	327	chiQ			putative lipoprotein ChiQ
EFAJBHHO_00283	CDS	447	fur		COG0735	Ferric uptake regulation protein
EFAJBHHO_00284	CDS	531	fldA		COG0716	Flavodoxin 1
EFAJBHHO_00285	CDS	363	ybfE			putative protein YbfE
EFAJBHHO_00286	CDS	765	ybfF	3.1.-.-	COG0596	Esterase YbfF
EFAJBHHO_00287	CDS	546	seqA		COG3057	Negative modulator of initiation of replication
EFAJBHHO_00288	CDS	1641	pgm	5.4.2.2	COG0033	Phosphoglucomutase
EFAJBHHO_00289	CDS	1320	potE		COG0531	Putrescine transporter PotE
EFAJBHHO_00290	CDS	2199	speF	4.1.1.17	COG1982	Inducible ornithine decarboxylase
EFAJBHHO_00291	CDS	678	kdpE		COG0745	KDP operon transcriptional regulatory protein KdpE
EFAJBHHO_00292	CDS	2685	kdpD	2.7.13.3	COG2205	Sensor protein KdpD
EFAJBHHO_00293	CDS	573	kdpC		COG2156	Potassium-transporting ATPase KdpC subunit
EFAJBHHO_00294	CDS	2049	kdpB	3.6.3.12	COG2216	Potassium-transporting ATPase ATP-binding subunit
EFAJBHHO_00295	CDS	1674	kdpA		COG2060	Potassium-transporting ATPase potassium-binding subunit
EFAJBHHO_00296	CDS	207				hypothetical protein
EFAJBHHO_00297	CDS	510				hypothetical protein
EFAJBHHO_00298	CDS	1419	phrB	4.1.99.3	COG0415	Deoxyribodipyrimidine photo-lyase
EFAJBHHO_00299	CDS	1482	dtpD		COG3104	Dipeptide permease D
EFAJBHHO_00300	CDS	744	ybgI		COG0327	GTP cyclohydrolase 1 type 2 
EFAJBHHO_00301	CDS	657	ybgJ		COG2049	putative protein YbgJ
EFAJBHHO_00302	CDS	933	ybgK		COG1984	putative protein YbgK
EFAJBHHO_00303	CDS	735				hypothetical protein
EFAJBHHO_00304	CDS	792	nei	3.2.2.-	COG0266	Endonuclease 8
EFAJBHHO_00305	CDS	1047				hypothetical protein
EFAJBHHO_00306	CDS	375				hypothetical protein
EFAJBHHO_00307	CDS	1284	gltA	2.3.3.16	COG0372	Citrate synthase
EFAJBHHO_00308	CDS	108				hypothetical protein
EFAJBHHO_00309	CDS	405	sdhC		COG2009	Succinate dehydrogenase cytochrome b556 subunit
EFAJBHHO_00310	CDS	348	sdhD		COG2142	Succinate dehydrogenase hydrophobic membrane anchor subunit
EFAJBHHO_00311	CDS	1767	sdhA	1.3.5.1	COG1053	Succinate dehydrogenase flavoprotein subunit
EFAJBHHO_00312	CDS	717	sdhB	1.3.5.1	COG0479	Succinate dehydrogenase iron-sulfur subunit
